metric,min,max,median,mean,std
undercover_behavior,693.62,990.58,852.54,850.8,77.9
undercover_naive,912.56,1292.34,1086.26,1089.17,95.33
undercover_norm_behavior,6.94,9.91,8.53,8.51,0.78
undercover_norm_naive,9.13,12.92,10.86,10.89,0.95
cons_behavior,133.0,312.0,215.0,226.96,50.69
cons_naive,611.0,826.0,689.0,702.28,56.8
cons_norm_behavior,1.33,3.12,2.15,2.27,0.51
cons_norm_naive,6.11,8.26,6.89,7.02,0.57
perf_behavior,21.96,62.94,37.44,40.36,11.03
perf_naive,215.64,384.48,278.88,286.65,43.64
perf_norm_behavior,0.22,0.63,0.37,0.4,0.11
perf_norm_naive,2.16,3.84,2.79,2.87,0.44
understaffing_behavior,657.92,942.64,816.54,810.43,73.03
understaffing_naive,651.0,921.0,809.0,802.52,71.71
understaffing_norm_behavior,6.58,9.43,8.17,8.1,0.73
understaffing_norm_naive,6.51,9.21,8.09,8.03,0.72
spread_sc_behavior,3.0,6.0,4.0,4.2,0.82
spread_sc_naive,4.0,11.0,6.0,6.56,1.96
load_share_sc_behavior,1.5,3.0,2.0,2.06,0.44
load_share_sc_naive,1.2,1.8,1.4,1.44,0.16
gini_sc_behavior,0.14,0.48,0.25,0.27,0.09
gini_sc_naive,0.07,0.24,0.13,0.13,0.04
top10_sc_behavior,14.4,26.5,17.4,18.31,3.38
top10_sc_naive,11.4,17.7,13.7,13.79,1.33
reduction,21.89,,,,
