I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrange
100,Medium,0.05,3,906.4,906.05425,116,906.4,9.064,406.27723,4.06277,6.23168,0.06232,0.1131,-0.24675,-0.10106,906.4
100,Medium,0.05,4,915.4,914.67191,152,915.4,9.154,388.51485,3.88515,14.83564,0.14836,0.6581,-0.18944,-0.01736,915.4
100,Medium,0.05,5,922.35,921.17345,139,922.35,9.2235,362.33663,3.62337,19.07277,0.19073,0.45604,-0.18944,0.03392,922.35
100,Medium,0.05,6,928.9,927.47436,147,928.9,9.289,356.1129,3.56113,21.80323,0.21803,0.6581,-0.18944,0.024,928.9
100,Medium,0.05,7,936.65,935.02212,119,936.65,9.3665,358.11881,3.58119,27.14505,0.27145,0.44643,-0.24675,-0.01917,936.65
100,Medium,0.05,8,950.05,948.66208,134,950.05,9.5005,323.70297,3.23703,35.82228,0.35822,0.45604,-0.18944,-0.01875,950.05
100,Medium,0.06,3,908.3,907.96833,122,908.3,9.083,413.86139,4.13861,6.3495,0.0635,0.29752,-0.24675,-0.11158,908.3
100,Medium,0.06,4,919.0,918.26259,123,919.0,9.19,389.12871,3.89129,15.56436,0.15564,0.29752,-0.18944,-0.01104,919.0
100,Medium,0.06,5,927.26,925.96373,126,927.26,9.2726,353.25743,3.53257,20.26,0.2026,0.45604,-0.18944,-0.02047,927.26
100,Medium,0.06,6,934.48,933.25432,153,934.48,9.3448,344.70297,3.44703,24.02455,0.24025,0.45604,-0.18944,0.02728,934.48
100,Medium,0.06,7,943.24,941.76335,110,943.24,9.4324,344.92079,3.44921,29.2697,0.2927,0.28476,-0.18944,-0.00564,943.24
100,Medium,0.06,8,958.48,956.59779,121,958.48,9.5848,318.86139,3.18861,36.06416,0.36064,0.45604,-0.18944,0.00637,958.48
