I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm,undercover_norm_n,cons_norm_n,understaffing_norm_n,perf_norm_n,pattern
100,0,1,7.05556,8.51111,7.05556,0.0,7.044444444444449,9.109790979097909,7.044444444444449,0.0,L
100,0,3,7.04444,7.97778,7.04444,0.0,7.044444444444464,9.109790979097909,7.044444444444464,0.0,L
100,0,5,7.04444,8.47778,7.04444,0.0,7.044444444444459,9.109790979097912,7.044444444444459,0.0,L
100,0.02,1,7.22511,4.17778,7.1,0.12511,7.486457645764573,9.109790979097909,7.044444444444449,0.44201320132013205,L
100,0.02,3,7.34978,4.1,7.13333,0.21644,8.344825082508251,9.109790979097909,7.044444444444449,1.3003806380638065,L
100,0.02,5,7.42644,4.05556,7.17778,0.24867,8.499093509350939,9.109790979097909,7.044444444444449,1.4546490649064905,L
100,0.04,1,7.36756,4.25556,7.08889,0.27867,7.928470847084709,9.109790979097909,7.044444444444449,0.8840264026402641,L
100,0.04,3,7.58889,3.98889,7.24444,0.34444,9.645205720572054,9.109790979097909,7.044444444444449,2.600761276127613,L
100,0.04,5,7.71156,4.01111,7.25556,0.456,9.953742574257426,9.109790979097909,7.044444444444449,2.909298129812981,L
100,0.06,1,7.4915,4.24444,7.16667,0.32483,8.370484048404844,9.109790979097909,7.044444444444449,1.326039603960395,L
100,0.06,3,7.80533,4.0,7.33333,0.472,10.945586358635863,9.109790979097909,7.044444444444449,3.90114191419142,L
100,0.06,5,7.98956,3.8,7.32222,0.66733,11.40839163916392,9.109790979097909,7.044444444444449,4.363947194719474,L
100,0.08,1,7.64756,4.2,7.22222,0.42533,8.812497249724972,9.109790979097909,7.044444444444449,1.7680528052805282,L
100,0.08,3,8.02044,3.8,7.43333,0.58711,12.245966996699662,9.109790979097909,7.044444444444449,5.201522552255226,L
100,0.08,5,8.22089,3.38889,7.5,0.72089,12.863040704070405,9.109790979097909,7.044444444444449,5.818596259625962,L
100,0.1,1,7.75556,4.08889,7.27778,0.47778,9.254510451045103,9.109790979097909,7.044444444444449,2.210066006600661,L
100,0.1,3,8.18333,3.56667,7.53333,0.65,13.546347634763473,9.109790979097909,7.044444444444449,6.501903190319029,L
100,0.1,5,8.44556,3.03333,7.65556,0.79,14.317689768976894,9.109790979097909,7.044444444444449,7.2732453245324535,L
100,0,1,8.96,7.6029702970297,8.96,0.0,8.960000000000012,7.6029702970297,8.960000000000012,0.0,M
100,0,3,8.96,7.6029702970297,8.96,0.0,8.960000000000024,7.6029702970297,8.960000000000024,0.0,M
100,0,5,8.96,7.6029702970297,8.96,0.0,8.960000000000027,7.602970297029696,8.960000000000027,0.0,M
100,0.02,1,9.1454,3.60,9.03,0.1154,9.340304950495046,7.6029702970297,8.960000000000012,0.38030495049504925,M
100,0.02,3,9.239,3.53,9.06,0.179,9.899055445544553,7.6029702970297,8.960000000000012,0.9390554455445539,M
100,0.02,5,9.307,3.51,9.04,0.267,10.114736633663364,7.6029702970297,8.960000000000012,1.1547366336633675,M
100,0.04,1,9.288,3.58,9.1,0.188,9.720609900990098,7.6029702970297,8.960000000000012,0.7606099009900985,M
100,0.04,3,9.4596,3.5,9.14,0.3196,10.838110891089105,7.6029702970297,8.960000000000012,1.8781108910891078,M
100,0.04,5,9.5692,3.44,9.11,0.4592,11.269473267326731,7.6029702970297,8.960000000000012,2.309473267326735,M
100,0.06,1,9.3908,3.57,9.11,0.2808,10.100914851485147,7.6029702970297,8.960000000000012,1.1409148514851488,M
100,0.06,3,9.65,3.4,9.2,0.45,11.777166336633655,7.6029702970297,8.960000000000012,2.817166336633664,M
100,0.06,5,9.8518,3.19,9.27,0.5818,12.424209900990103,7.6029702970297,8.960000000000012,3.4642099009901,M
100,0.08,1,9.5348,3.55,9.2,0.3348,10.4812198019802,7.6029702970297,8.960000000000012,1.521219801980197,M
100,0.08,3,9.844,3.26,9.31,0.534,12.716221782178216,7.6029702970297,8.960000000000012,3.7562217821782156,M
100,0.08,5,10.0452,2.9,9.38,0.6652,13.57894653465347,7.6029702970297,8.960000000000012,4.61894653465347,M
100,0.1,1,9.631,3.48,9.19,0.441,10.861524752475246,7.6029702970297,8.960000000000012,1.9015247524752474,M
100,0.1,3,9.975,3.01,9.34,0.635,13.655277227722774,7.6029702970297,8.960000000000012,4.69527722772277,M
100,0.1,5,10.253,2.49,9.48,0.773,14.733683168316835,7.6029702970297,8.960000000000012,5.773683168316829,M
100,0,1,10.71818,7.12727,10.71818,0.0,10.718181818181828,6.65229522952295,10.718181818181828,0.0,H
100,0,3,10.71818,6.10909,10.68182,0.03636,10.718181818181824,6.652295229522956,10.718181818181824,0.0,H
100,0,5,10.75455,6.28182,10.75455,0.0,10.718181818181757,6.652295229522962,10.718181818181757,0.0,H
100,0.02,1,10.87255,2.92727,10.79091,0.08164,11.084165616561652,6.65229522952295,10.718181818181828,0.3659837983798379,H
100,0.02,3,10.94364,2.87273,10.79091,0.15273,11.58697389738974,6.65229522952295,10.718181818181828,0.8687920792079202,H
100,0.02,5,10.96164,2.80909,10.75455,0.20709,11.730703870387035,6.65229522952295,10.718181818181828,1.0125220522052205,H
100,0.04,1,10.97927,2.93636,10.81818,0.16109,11.450149414941492,6.65229522952295,10.718181818181828,0.7319675967596758,H
100,0.04,3,11.07818,2.8,10.78182,0.29636,12.455765976597656,6.65229522952295,10.718181818181828,1.7375841584158405,H
100,0.04,5,11.20073,2.79091,10.81818,0.38255,12.743225922592258,6.65229522952295,10.718181818181828,2.025044104410441,H
100,0.06,1,11.06455,2.87273,10.82727,0.23727,11.81613321332133,6.65229522952295,10.718181818181828,1.0979513951395132,H
100,0.06,3,11.22927,2.76364,10.82727,0.402,13.324558055805579,6.65229522952295,10.718181818181828,2.606376237623761,H
100,0.06,5,11.38218,2.59091,10.90909,0.47309,13.755747974797472,6.65229522952295,10.718181818181828,3.037566156615658,H
100,0.08,1,11.13055,2.84545,10.87273,0.25782,12.182117011701171,6.65229522952295,10.718181818181828,1.4639351935193516,H
100,0.08,3,11.34545,2.56364,10.88182,0.46364,14.193350135013507,6.65229522952295,10.718181818181828,3.475168316831681,H
100,0.08,5,11.55818,2.40909,10.94545,0.61273,14.768270027002707,6.65229522952295,10.718181818181828,4.050088208820882,H
100,0.1,1,11.18091,2.80909,10.77273,0.40818,12.548100810081003,6.65229522952295,10.718181818181828,1.829918991899189,H
100,0.1,3,11.53909,2.52727,10.91818,0.62091,15.062142214221417,6.65229522952295,10.718181818181828,4.3439603960396,H
100,0.1,5,11.80727,2.18182,11.04545,0.76182,15.780792079207913,6.65229522952295,10.718181818181828,5.062610261026101,H
