I,prob,lb,ub,gap,time,lb_cg,ub_cg,gap_cg,time_cg,iter,time_rmp,time_sp,time_ip
25,Low,0.0,616.3,1.0,5.01,215.5813436756312,215.99999997408224,0.194,182.69504714012146,88,2.134,179.193,1719298069.8958552
25,Medium,0.0,616.3,1.0,5.0,215.5813436756312,215.99999997408224,0.194,181.36948013305664,88,2.049,178.005,1719298316.991138
25,High,0.0,616.3,1.0,5.0,215.5813436756312,215.99999997408224,0.194,181.64275217056274,88,2.038,178.2,1719298564.3695219
50,Low,313.8,1270.0,0.75,5.01,442.4277794246809,443.0999999100501,0.152,203.80393171310425,90,2.097,200.283,1719298834.437678
50,Medium,313.8,1270.0,0.75,5.08,442.4277794246809,443.0999999100501,0.152,202.37783408164978,90,2.11,198.83,1719299103.385055
50,High,313.8,1270.0,0.75,5.02,442.4277794246809,443.0999999100501,0.152,204.05033707618713,90,2.087,200.553,1719299373.742208
100,Low,2.0,2500.0,1.0,5.01,900.2081211243792,900.899998846229,0.077,270.71340107917786,109,2.565,266.483,1719299711.993161
100,Medium,2.0,2500.0,1.0,5.02,900.2081211243792,900.899998846229,0.077,270.31990599632263,109,2.574,266.041,1719300049.7552168
100,High,2.0,2500.0,1.0,5.02,900.2081211243792,900.899998846229,0.077,267.6894619464874,109,2.592,263.421,1719300384.824246
150,Low,4.0,3863.0,1.0,5.04,1356.0688152111118,1356.5999981244538,0.039,279.11909198760986,106,2.524,275.064,1719300732.4809291
150,Medium,4.0,3863.0,1.0,5.04,1356.0688152111118,1356.5999981244538,0.039,278.352578163147,106,2.488,274.322,1719301079.415377
150,High,4.0,3863.0,1.0,5.04,1356.0688152111118,1356.5999981244538,0.039,278.85242795944214,106,2.542,274.764,1719301427.003916
